service_id,date,exception_type
JUNE22-D01CAR-3_Sunday,20220704,1
JUNE22-D01CAR-3_Sunday,20220905,1
JUNE22-D01CAR-3_Sunday,20221124,1
JUNE22-D01CAR-1_Weekday,20220704,2
JUNE22-D01CAR-1_Weekday,20220905,2
JUNE22-D01CAR-1_Weekday,20221124,2
JUNE22-D02CAR-3_Sunday,20220704,1
JUNE22-D02CAR-3_Sunday,20220905,1
JUNE22-D02CAR-3_Sunday,20221124,1
JUNE22-D02CAR-1_Weekday,20220704,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220704,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220704,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220704,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220704,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220704,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220704,2
JUNE22-D02CAR-1_Weekday,20220905,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220905,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220905,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220905,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220905,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220905,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220905,2
JUNE22-D02CAR-1_Weekday,20221124,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20221124,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20221124,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20221124,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20221124,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20221124,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20221124,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220627,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220627,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220627,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220627,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220627,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220627,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220628,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220628,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220628,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220628,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220628,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220628,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220629,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220629,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220629,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220629,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220629,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220629,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220630,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220630,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220630,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220630,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220630,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220630,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220701,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220701,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220701,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220701,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220701,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220701,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220705,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220705,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220705,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220705,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220705,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220705,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220706,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220706,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220706,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220706,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220706,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220706,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220707,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220707,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220707,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220707,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220707,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220707,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220708,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220708,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220708,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220708,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220708,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220708,2
