service_id,date,exception_type
DEC22-D01CAR-3_Sunday,20221226,1
DEC22-D01CAR-3_Sunday,20230102,1
DEC22-D01CAR-3_Sunday,20230529,1
DEC22-D01CAR-1_Weekday,20221226,2
DEC22-D01CAR-1_Weekday,20230102,2
DEC22-D01CAR-1_Weekday,20230529,2
DEC22-D02CAR-3_Sunday,20221226,1
DEC22-D02CAR-3_Sunday,20230102,1
DEC22-D02CAR-3_Sunday,20230529,1
DEC22-D02CAR-1_Weekday,20221226,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221226,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221226,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221226,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221226,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221226,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221226,2
DEC22-D02CAR-1_Weekday,20230102,2
DEC22-D02CAR-1_Weekday-KINGMS1,20230102,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230102,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230102,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230102,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230102,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230102,2
DEC22-D02CAR-1_Weekday,20230529,2
DEC22-D02CAR-1_Weekday-KINGMS1,20230529,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230529,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230529,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230529,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230529,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230529,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221212,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221212,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221212,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221212,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221212,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221213,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221213,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221213,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221213,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221214,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221214,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221214,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221214,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221215,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221215,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221215,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221215,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221216,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221216,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221216,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221216,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221219,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221219,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221219,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221219,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221219,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221219,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221220,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221220,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221220,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221220,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221220,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221220,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221221,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221221,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221221,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221221,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221221,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221221,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221222,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221222,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221222,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221222,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221222,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221222,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221223,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221223,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221223,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221223,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221223,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221223,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221227,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221227,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221227,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221227,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221227,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221227,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221228,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221228,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221228,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221228,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221228,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221228,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221229,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221229,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221229,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221229,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221229,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221229,2
DEC22-D02CAR-1_Weekday-SANTHS1,20221230,2
DEC22-D02CAR-1_Weekday-SANTHB0,20221230,2
DEC22-D02CAR-1_Weekday-SANTHA0,20221230,2
DEC22-D02CAR-1_Weekday-KINGMS1,20221230,2
DEC22-D02CAR-1_Weekday-KINGMA0,20221230,2
DEC22-D02CAR-1_Weekday-KINGMB0,20221230,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230103,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230103,2
DEC22-D02CAR-1_Weekday-KINGMS1,20230103,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230103,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230103,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230103,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230104,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230104,2
DEC22-D02CAR-1_Weekday-KINGMS1,20230104,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230104,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230104,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230104,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230105,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230105,2
DEC22-D02CAR-1_Weekday-KINGMS1,20230105,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230105,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230105,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230105,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230106,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230106,2
DEC22-D02CAR-1_Weekday-KINGMS1,20230106,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230106,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230106,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230106,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230109,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230109,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230109,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230109,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230109,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230110,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230110,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230110,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230110,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230111,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230111,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230111,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230111,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230112,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230112,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230112,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230112,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230113,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230113,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230113,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230113,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230116,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230116,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230116,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230116,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230116,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230117,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230117,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230117,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230117,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230118,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230118,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230118,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230118,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230119,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230119,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230119,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230119,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230120,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230120,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230120,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230120,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230123,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230123,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230123,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230124,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230124,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230124,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230124,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230125,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230125,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230125,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230125,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230126,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230126,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230126,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230126,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230127,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230127,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230127,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230127,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230130,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230130,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230130,2
DEC22-D02CAR-1_Weekday-SANTHS1,20230131,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230131,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230131,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230131,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230201,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230201,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230201,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230201,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230202,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230202,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230202,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230202,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230203,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230203,2
DEC22-D02CAR-1_Weekday-KINGMA0,20230203,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230203,2
DEC22-D02CAR-1_Weekday-SANTHB0,20230206,2
DEC22-D02CAR-1_Weekday-SANTHA0,20230206,2
DEC22-D02CAR-1_Weekday-KINGMB0,20230206,2
