route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
224-13167,DEC22-D15CAR-2_Saturday,60224002710435-DEC22,,1,0920200,2240271_DEC22,56891608-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002730534-DEC22,,0,0920200,2240273_DEC22,56891609-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002710706-DEC22,,1,0920800,2240271_DEC22,56891610-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002730821-DEC22,,0,0920800,2240273_DEC22,56891611-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002710944-DEC22,,1,0920800,2240271_DEC22,56891612-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002731059-DEC22,,0,0920800,2240273_DEC22,56891613-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002711222-DEC22,,1,2300200,2240271_DEC22,56891614-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002731337-DEC22,,0,2300200,2240273_DEC22,56891615-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002711503-DEC22,,1,2940100,2240271_DEC22,56891616-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002731617-DEC22,,0,2940100,2240273_DEC22,56891617-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002711743-DEC22,,1,2940100,2240271_DEC22,56891618-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002731857-DEC22,,0,2940100,2240273_DEC22,56891619-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002700505-DEC22,,0,2240100,2240270_DEC22,56891620-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002720630-DEC22,,1,2240100,2240272_DEC22,56891621-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002700801-DEC22,,0,2240100,2240270_DEC22,56891622-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002720946-DEC22,,1,2240100,2240272_DEC22,56891623-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002701118-DEC22,,0,2240100,2240270_DEC22,56891624-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002721305-DEC22,,1,2240100,2240272_DEC22,56891625-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002701437-DEC22,,0,2240100,2240270_DEC22,56891626-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002721625-DEC22,,1,2240100,2240272_DEC22,56891627-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002701757-DEC22,,0,2240100,2240270_DEC22,56891628-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002721949-DEC22,,1,2240100,2240272_DEC22,56891629-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002732132-DEC22,,0,2240100,2240273_DEC22,56891630-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002710505-DEC22,,1,2340800,2240271_DEC22,56891631-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002730622-DEC22,,0,2340800,2240273_DEC22,56891632-DEC22-D15CAR-2_Saturday
224-13167,DEC22-D15CAR-2_Saturday,60224002710746-DEC22,,1,2300300,2240271_DEC22,56891633-DEC22-D15CAR-2_Saturday
