route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
256-13157,JUNE22-D95-1_Weekday,10256001030511-JUNE22,,0,2560300,2560103_JUNE22,55533837-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001052052-JUNE22,,0,2560100,2560105_JUNE22,55533838-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001032001-JUNE22,,0,2560200,2560103_JUNE22,55533839-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001042112-JUNE22,,1,2560400,2560104_JUNE22,55533840-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001052141-JUNE22,,0,2560300,2560105_JUNE22,55533841-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256000870437-JUNE22,,0,2560100,2560087_JUNE22,55533842-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001030709-JUNE22,,0,2560100,2560103_JUNE22,55533843-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001031311-JUNE22,,0,2560200,2560103_JUNE22,55533844-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001031401-JUNE22,,0,2560100,2560103_JUNE22,55533845-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001031453-JUNE22,,0,2560300,2560103_JUNE22,55533846-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001031544-JUNE22,,0,2560400,2560103_JUNE22,55533847-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001031634-JUNE22,,0,2560200,2560103_JUNE22,55533848-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001031816-JUNE22,,0,2560300,2560103_JUNE22,55533849-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001031907-JUNE22,,0,2560400,2560103_JUNE22,55533850-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001030952-JUNE22,,0,2560200,2560103_JUNE22,55533851-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001031221-JUNE22,,0,2560400,2560103_JUNE22,55533852-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001031131-JUNE22,,0,2560300,2560103_JUNE22,55533853-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001031042-JUNE22,,0,2560100,2560103_JUNE22,55533854-JUNE22-D95-1_Weekday
256-13157,JUNE22-D95-1_Weekday,10256001030803-JUNE22,,0,2560300,2560103_JUNE22,55533855-JUNE22-D95-1_Weekday
